ticker,date,predicted_return,lower_bound_return,bound_width
TCS.NS,2025-06-17,-0.3324,-0.3351,0.0047
TCS.NS,2025-06-18,-0.327,-0.3298,0.0047
TCS.NS,2025-06-19,-0.3293,-0.3321,0.0047
TCS.NS,2025-06-22,-0.321,-0.3238,0.0048
TCS.NS,2025-06-23,-0.3204,-0.3232,0.0048
TCS.NS,2025-06-24,-0.3311,-0.3338,0.0047
TCS.NS,2025-06-25,-0.3305,-0.3333,0.0047
TCS.NS,2025-06-26,-0.3304,-0.3331,0.0047
TCS.NS,2025-06-29,-0.3344,-0.3372,0.0047
TCS.NS,2025-06-30,-0.3282,-0.3309,0.0047
TCS.NS,2025-07-01,-0.3269,-0.3297,0.0047
TCS.NS,2025-07-02,-0.3225,-0.3252,0.0048
TCS.NS,2025-07-03,-0.3262,-0.329,0.0048
TCS.NS,2025-07-06,-0.3246,-0.3274,0.0048
TCS.NS,2025-07-07,-0.3235,-0.3263,0.0048
TCS.NS,2025-07-08,-0.3191,-0.3218,0.0048
TCS.NS,2025-07-09,-0.3187,-0.3215,0.0048
TCS.NS,2025-07-10,-0.2945,-0.2974,0.005
TCS.NS,2025-07-13,-0.285,-0.2879,0.005
TCS.NS,2025-07-14,-0.2915,-0.2944,0.005
TCS.NS,2025-07-15,-0.2897,-0.2926,0.005
TCS.NS,2025-07-16,-0.2844,-0.2874,0.005
TCS.NS,2025-07-17,-0.2801,-0.283,0.0051
TCS.NS,2025-07-20,-0.2729,-0.2758,0.0051
TCS.NS,2025-07-21,-0.2732,-0.2762,0.0051
TCS.NS,2025-07-22,-0.2777,-0.2806,0.0051
TCS.NS,2025-07-23,-0.2705,-0.2735,0.0051
TCS.NS,2025-07-24,-0.2677,-0.2707,0.0052
TCS.NS,2025-07-27,-0.2542,-0.2573,0.0053
TCS.NS,2025-07-28,-0.2486,-0.2516,0.0053
TCS.NS,2025-07-29,-0.248,-0.251,0.0053
TCS.NS,2025-07-30,-0.2438,-0.2469,0.0053
TCS.NS,2025-07-31,-0.2353,-0.2384,0.0054
TCS.NS,2025-08-03,-0.2531,-0.2561,0.0053
TCS.NS,2025-08-04,-0.2505,-0.2536,0.0053
TCS.NS,2025-08-05,-0.2427,-0.2458,0.0053
TCS.NS,2025-08-06,-0.2463,-0.2494,0.0053
TCS.NS,2025-08-07,-0.2437,-0.2468,0.0053
TCS.NS,2025-08-10,-0.2448,-0.2479,0.0053
TCS.NS,2025-08-11,-0.2435,-0.2466,0.0053
TCS.NS,2025-08-12,-0.2437,-0.2468,0.0053
TCS.NS,2025-08-13,-0.2402,-0.2433,0.0054
TCS.NS,2025-08-17,-0.2374,-0.2405,0.0054
TCS.NS,2025-08-18,-0.2386,-0.2418,0.0054
